Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,Travel_Rarely,242,Research & Development,29,2,Medical,3,Female,68,3,1,Laboratory Technician,3,Divorced,7774,3755,5,No,11,3,4,0,2,3,3,2,0,0,7,Yes
39,Travel_Frequently,479,Research & Development,5,3,Medical,3,Female,94,3,3,Healthcare Representative,3,Single,3240,9576,6,No,21,3,2,0,0,5,3,0,0,2,0,No
46,Travel_Rarely,1245,Research & Development,29,2,Technical Degree,4,Male,89,1,3,Healthcare Representative,2,Married,8004,21353,3,No,13,3,1,1,6,2,2,6,5,0,5,No
39,Travel_Rarely,1463,Research & Development,1,2,Technical Degree,3,Male,62,2,5,Healthcare Representative,2,Married,4165,25369,1,No,11,3,4,2,7,4,4,7,3,1,0,No
26,Travel_Rarely,551,Research & Development,21,1,Technical Degree,3,Female,61,4,5,Laboratory Technician,2,Single,10134,14186,3,Yes,12,4,3,1,7,2,4,7,6,3,2,Yes
54,Travel_Rarely,989,Sales,1,4,Life Sciences,3,Female,65,4,2,Sales Executive,4,Married,6199,4257,0,No,20,3,4,1,13,3,3,13,10,0,4,Yes
27,Travel_Rarely,1286,Sales,7,2,Medical,2,Female,53,3,2,Sales Executive,4,Single,6639,21316,2,Yes,24,3,4,0,4,2,4,4,4,2,5,No
53,Travel_Rarely,1230,Research & Development,4,2,Marketing,4,Female,72,4,1,Research Director,2,Divorced,11393,21938,4,No,16,3,3,1,1,4,3,1,0,1,8,No
54,Travel_Rarely,951,Research & Development,6,2,Marketing,4,Male,100,3,1,Research Scientist,2,Married,4300,9346,4,Yes,18,3,3,0,2,2,2,2,0,1,1,No
45,Travel_Frequently,193,Human Resources,7,3,Medical,2,Female,100,4,2,Human Resources,1,Divorced,8554,9893,4,No,22,3,4,0,7,4,3,7,5,5,1,Yes
45,Travel_Frequently,586,Research & Development,4,3,Life Sciences,1,Female,75,3,3,Research Scientist,4,Single,4599,15569,4,Yes,11,3,3,0,6,3,3,6,3,4,17,Yes
59,Travel_Rarely,522,Research & Development,29,2,Technical Degree,4,Female,76,3,2,Research Director,2,Single,10088,2648,1,No,16,3,2,0,5,4,3,5,5,0,0,No
60,Non-Travel,817,Research & Development,29,3,Marketing,3,Female,98,3,2,Manufacturing Director,3,Single,11860,13493,3,No,22,3,2,1,8,2,2,8,4,2,4,No
38,Travel_Frequently,653,Research & Development,29,4,Life Sciences,2,Male,43,2,3,Healthcare Representative,4,Single,5711,10019,1,No,18,3,2,1,7,1,3,7,3,1,12,No
41,Non-Travel,1005,Human Resources,29,3,Medical,2,Male,74,1,3,Manager,3,Single,1009,6102,1,No,13,3,4,0,14,3,3,14,14,0,9,No
59,Travel_Rarely,1179,Research & Development,14,3,Life Sciences,3,Female,81,3,3,Healthcare Representative,4,Single,4435,23079,2,No,16,3,3,2,6,3,2,6,6,4,2,No
57,Non-Travel,702,Research & Development,29,3,Life Sciences,1,Female,79,2,1,Laboratory Technician,3,Married,13797,3910,5,Yes,22,3,2,0,10,2,2,10,8,0,4,No
19,Travel_Frequently,1222,Research & Development,20,2,Life Sciences,1,Male,94,3,3,Research Director,4,Single,4723,9633,4,No,15,3,4,1,2,3,3,2,0,0,3,No
25,Travel_Frequently,286,Research & Development,4,4,Life Sciences,4,Male,93,3,4,Laboratory Technician,3,Married,11813,16663,4,No,11,3,1,1,7,1,3,7,7,0,1,No
44,Travel_Rarely,1066,Sales,13,4,Medical,3,Female,52,2,1,Sales Representative,3,Married,4681,17568,3,Yes,17,4,3,1,16,3,3,16,12,0,0,No
39,Travel_Frequently,1250,Research & Development,21,3,Medical,2,Female,100,3,2,Manufacturing Director,4,Divorced,4607,18666,7,Yes,11,3,4,2,3,2,2,3,3,0,6,Yes
54,Non-Travel,1459,Research & Development,11,3,Medical,1,Male,99,1,5,Research Scientist,3,Divorced,8837,19918,0,No,12,4,3,0,10,1,3,10,9,2,0,No
44,Travel_Rarely,1389,Research & Development,4,4,Technical Degree,3,Male,88,2,2,Healthcare Representative,2,Married,8478,3314,3,No,13,3,2,0,9,4,3,9,7,1,3,No
46,Travel_Rarely,953,Research & Development,1,3,Life Sciences,2,Male,83,3,2,Research Director,2,Married,9056,21075,2,No,14,3,3,1,0,3,3,0,0,1,3,No
20,Non-Travel,292,Research & Development,14,2,Life Sciences,3,Male,100,3,1,Healthcare Representative,1,Single,6514,25145,1,No,11,3,4,0,6,4,2,6,3,0,1,Yes
30,Travel_Rarely,1346,Research & Development,27,3,Technical Degree,2,Male,55,3,2,Laboratory Technician,4,Divorced,9603,16041,3,Yes,16,3,3,0,0,1,4,0,0,1,0,No
27,Travel_Rarely,300,Sales,4,3,Life Sciences,2,Male,73,2,2,Sales Executive,2,Single,9384,13154,3,Yes,13,3,1,1,23,0,2,23,22,1,6,No
53,Travel_Rarely,445,Research & Development,1,4,Other,3,Female,42,3,1,Laboratory Technician,4,Single,9947,12347,2,No,18,3,1,1,11,3,2,11,8,1,2,No
26,Non-Travel,275,Sales,3,3,Technical Degree,4,Male,83,2,2,Sales Executive,2,Single,4629,5001,6,Yes,15,3,4,0,0,2,3,0,0,0,5,Yes
44,Travel_Rarely,318,Research & Development,7,2,Medical,2,Male,69,4,1,Research Scientist,2,Married,9600,24161,5,No,14,3,3,0,0,0,3,0,0,0,0,No
51,Travel_Rarely,1331,Human Resources,3,3,Other,2,Male,33,4,3,Human Resources,4,Single,4935,17698,1,No,14,3,4,0,6,2,4,6,5,0,0,No
18,Travel_Rarely,1498,Human Resources,8,4,Life Sciences,2,Male,82,2,5,Manager,3,Divorced,6028,3809,3,Yes,20,3,3,0,2,2,2,2,0,2,0,No
49,Travel_Frequently,275,Research & Development,29,2,Life Sciences,3,Female,30,4,2,Research Scientist,4,Single,5967,17755,4,No,18,3,3,1,0,2,3,0,0,0,0,No
42,Travel_Rarely,179,Research & Development,9,4,Medical,4,Female,35,3,3,Research Scientist,3,Married,3505,13821,3,Yes,11,3,4,0,5,4,3,5,3,1,0,Yes
46,Non-Travel,1448,Research & Development,4,3,Life Sciences,3,Male,84,3,2,Research Scientist,2,Single,1293,16342,6,No,13,3,1,2,3,3,3,3,0,1,4,No
24,Non-Travel,677,Sales,24,4,Human Resources,4,Female,95,2,1,Sales Executive,3,Single,10171,9903,3,Yes,15,3,1,0,0,3,1,0,0,7,0,Yes
20,Travel_Rarely,942,Research & Development,7,3,Life Sciences,1,Female,47,2,5,Laboratory Technician,1,Divorced,4393,8204,4,No,11,3,3,2,11,0,2,11,10,4,0,No
37,Travel_Rarely,538,Research & Development,1,3,Medical,4,Female,58,4,1,Research Director,2,Single,5690,19089,1,No,16,3,1,1,17,4,2,17,14,5,0,No
37,Travel_Rarely,300,Research & Development,6,3,Medical,2,Female,82,3,1,Healthcare Representative,2,Divorced,4307,12795,0,No,11,3,3,0,9,2,3,9,7,3,4,No
47,Travel_Rarely,703,Research & Development,9,4,Medical,1,Female,62,3,2,Research Scientist,3,Married,5730,2377,3,No,12,3,4,0,12,2,3,12,10,1,3,No
52,Travel_Rarely,1132,Research & Development,16,3,Life Sciences,1,Female,32,1,3,Laboratory Technician,1,Single,4982,4764,0,Yes,12,3,4,0,1,0,3,1,0,4,1,Yes
52,Non-Travel,1388,Sales,24,3,Life Sciences,2,Male,49,4,2,Sales Representative,2,Divorced,10337,17229,4,No,20,3,3,1,2,3,3,2,0,1,4,No
56,Travel_Frequently,1105,Research & Development,3,2,Technical Degree,3,Male,33,3,1,Laboratory Technician,2,Single,4728,20089,2,No,17,3,4,0,1,4,3,1,0,0,3,Yes
44,Travel_Rarely,735,Sales,1,2,Life Sciences,3,Male,37,3,3,Sales Executive,1,Divorced,11643,14915,4,No,13,4,1,1,10,2,3,10,10,1,0,No
43,Travel_Rarely,729,Research & Development,1,4,Technical Degree,3,Male,57,3,2,Research Director,1,Single,9917,10967,5,Yes,12,4,3,1,20,4,3,20,18,1,7,No
31,Travel_Rarely,626,Research & Development,12,2,Medical,1,Male,95,4,1,Manufacturing Director,2,Divorced,5076,13725,5,No,15,3,3,1,8,4,3,8,7,3,1,No
34,Travel_Rarely,1064,Research & Development,14,4,Marketing,3,Female,55,3,2,Laboratory Technician,2,Single,7459,9258,3,Yes,21,3,2,1,14,1,3,14,13,0,2,No
35,Travel_Rarely,1145,Research & Development,4,3,Marketing,2,Male,63,2,1,Manufacturing Director,1,Married,8058,17610,5,No,13,3,1,0,7,2,3,7,7,0,6,No
46,Travel_Frequently,355,Sales,4,5,Life Sciences,3,Male,100,3,2,Sales Representative,1,Married,9024,9724,4,Yes,11,3,4,1,3,5,3,3,0,3,0,No
37,Non-Travel,699,Sales,27,2,Medical,1,Female,78,3,3,Sales Executive,4,Divorced,9321,15985,3,No,15,4,4,1,3,0,1,3,1,2,0,No
44,Travel_Rarely,1305,Research & Development,22,1,Technical Degree,1,Female,78,3,3,Research Scientist,4,Divorced,7059,6350,1,Yes,16,3,3,3,0,4,2,0,0,3,9,No
35,Travel_Frequently,1478,Research & Development,2,1,Medical,3,Male,56,3,1,Research Director,3,Divorced,3636,22747,0,No,16,3,1,0,0,4,3,0,0,8,2,No
21,Travel_Rarely,674,Sales,13,4,Other,4,Female,94,3,1,Manager,4,Divorced,8422,17334,4,No,14,4,2,2,8,4,2,8,4,0,1,No
18,Travel_Frequently,994,Sales,8,3,Medical,3,Female,62,3,1,Sales Executive,1,Single,5790,20000,5,Yes,15,3,4,2,4,4,3,4,3,0,6,No
18,Travel_Rarely,316,Research & Development,1,1,Life Sciences,1,Female,78,3,1,Manufacturing Director,2,Single,1009,18003,6,No,11,3,3,1,5,4,2,5,5,0,0,No
43,Travel_Rarely,1483,Sales,3,4,Life Sciences,2,Female,92,3,1,Sales Executive,4,Single,7670,4167,5,Yes,19,3,3,1,5,3,2,5,3,4,0,No
37,Non-Travel,985,Research & Development,1,4,Human Resources,2,Male,61,3,2,Research Director,3,Married,4297,20267,4,No,12,3,4,3,2,3,2,2,2,0,0,No
40,Travel_Rarely,703,Research & Development,3,4,Life Sciences,3,Female,48,2,1,Research Scientist,4,Married,5124,5464,2,No,13,3,3,3,4,1,1,4,0,0,5,No
27,Travel_Frequently,669,Sales,8,2,Technical Degree,3,Male,79,4,2,Manager,4,Married,6518,4578,1,No,16,4,3,1,4,4,2,4,0,0,1,Yes
28,Travel_Rarely,1345,Sales,4,3,Technical Degree,2,Male,51,3,2,Sales Executive,1,Single,1839,12104,7,No,15,4,2,0,3,4,3,3,1,1,5,No
58,Travel_Rarely,707,Human Resources,4,4,Life Sciences,3,Female,96,3,1,Manager,4,Married,6917,8996,3,No,21,3,2,1,12,3,3,12,8,0,0,No
58,Travel_Rarely,653,Research & Development,6,3,Life Sciences,3,Female,38,2,2,Healthcare Representative,4,Single,5549,20536,5,No,20,3,3,0,4,3,3,4,1,3,3,No
22,Travel_Rarely,438,Research & Development,1,2,Marketing,3,Female,64,3,1,Research Scientist,2,Single,3868,9499,2,Yes,13,3,2,0,6,3,2,6,4,2,1,No
18,Travel_Rarely,420,Research & Development,12,2,Life Sciences,1,Male,100,3,3,Manufacturing Director,4,Married,6638,4760,3,No,22,3,3,3,15,4,3,15,12,4,0,No
34,Travel_Rarely,567,Human Resources,4,5,Marketing,3,Female,33,2,2,Human Resources,1,Divorced,1429,19911,2,No,18,3,2,1,14,0,4,14,10,1,6,No
39,Travel_Rarely,830,Human Resources,5,2,Medical,2,Female,66,4,1,Human Resources,3,Married,6726,5478,4,No,15,3,1,2,15,3,1,15,13,1,2,No
51,Travel_Rarely,1001,Research & Development,29,4,Medical,4,Female,57,2,2,Manufacturing Director,2,Married,7911,19000,3,Yes,12,4,3,1,2,4,4,2,0,1,3,No
58,Travel_Rarely,1279,Research & Development,3,3,Marketing,4,Female,38,3,1,Manufacturing Director,1,Single,7415,20171,3,No,14,4,2,1,0,1,2,0,0,1,0,No
46,Travel_Rarely,452,Sales,9,4,Life Sciences,2,Female,64,3,3,Sales Executive,3,Married,8866,6277,3,No,11,3,4,3,2,5,3,2,1,0,6,No
21,Non-Travel,1187,Research & Development,4,3,Medical,1,Male,54,4,5,Healthcare Representative,2,Single,9996,17438,0,Yes,17,3,2,0,2,5,3,2,1,2,1,No
22,Travel_Rarely,1051,Research & Development,20,3,Life Sciences,2,Female,38,2,1,Research Director,3,Married,6255,2691,2,No,11,3,3,1,16,5,3,16,16,1,4,No
28,Travel_Rarely,1365,Research & Development,16,3,Life Sciences,3,Female,90,3,3,Healthcare Representative,3,Married,9786,11931,4,No,16,3,2,1,7,3,3,7,6,0,5,No
38,Travel_Rarely,291,Research & Development,2,4,Medical,4,Female,81,3,2,Laboratory Technician,3,Single,6244,9589,2,No,13,3,2,0,0,3,3,0,0,0,0,No
52,Travel_Rarely,1271,Sales,10,3,Technical Degree,2,Male,46,2,1,Manager,1,Single,4401,20814,2,No,15,3,2,0,1,3,3,1,0,0,1,No
29,Travel_Rarely,1417,Research & Development,1,4,Life Sciences,4,Female,38,4,1,Research Director,3,Divorced,5321,24695,2,No,12,3,4,1,1,2,3,1,0,0,5,No
43,Travel_Rarely,1185,Sales,29,3,Medical,3,Male,83,4,4,Manager,4,Divorced,7300,26161,3,Yes,12,3,3,1,6,1,3,6,4,1,1,No
36,Travel_Rarely,788,Research & Development,3,3,Medical,4,Male,34,3,2,Research Director,3,Married,9755,20192,4,No,17,4,4,0,9,4,4,9,7,0,7,No
24,Travel_Rarely,174,Sales,16,3,Life Sciences,3,Female,92,4,5,Manager,3,Single,6504,15182,1,Yes,12,4,2,1,13,3,4,13,12,0,1,No
24,Travel_Frequently,1364,Sales,3,2,Life Sciences,3,Female,76,3,2,Manager,3,Single,4479,13070,2,No,11,3,1,1,19,2,4,19,18,1,2,No
43,Travel_Rarely,517,Sales,9,3,Human Resources,3,Female,48,3,1,Manager,3,Married,10832,5270,6,No,11,3,4,1,1,0,3,1,1,7,0,No
57,Travel_Rarely,280,Research & Development,29,1,Marketing,4,Male,95,3,3,Manufacturing Director,3,Divorced,2195,16506,1,No,18,3,3,0,2,3,2,2,0,0,0,No
22,Travel_Rarely,1192,Research & Development,18,5,Medical,2,Male,74,3,4,Research Director,4,Single,4498,26872,0,No,11,3,3,1,1,4,3,1,1,0,1,No
38,Travel_Frequently,178,Research & Development,1,5,Medical,4,Male,100,3,3,Manufacturing Director,4,Married,9178,4992,5,Yes,15,3,2,0,3,3,2,3,0,1,0,No
31,Travel_Rarely,349,Human Resources,7,2,Life Sciences,3,Male,62,3,3,Human Resources,3,Single,11799,19742,3,No,23,3,1,0,17,1,4,17,15,2,0,No
21,Travel_Rarely,808,Research & Development,3,1,Medical,3,Male,72,3,2,Laboratory Technician,3,Divorced,7942,9037,3,No,12,3,3,0,5,3,2,5,4,2,2,No
40,Travel_Rarely,1089,Sales,5,3,Medical,4,Male,55,3,1,Sales Executive,3,Married,7249,8944,2,Yes,11,3,4,1,9,2,3,9,5,1,1,No
59,Travel_Rarely,169,Research & Development,3,5,Medical,4,Female,74,4,1,Healthcare Representative,3,Married,5627,17825,5,No,19,3,1,0,4,1,2,4,0,2,0,Yes
37,Travel_Rarely,951,Sales,3,3,Life Sciences,4,Female,64,3,2,Sales Representative,3,Married,8144,17658,1,No,11,3,4,0,0,3,2,0,0,4,0,No
32,Travel_Frequently,1224,Human Resources,7,3,Life Sciences,2,Male,82,2,5,Manager,4,Married,6888,12745,0,No,19,3,2,0,0,3,2,0,0,15,1,No
46,Travel_Rarely,689,Sales,1,3,Life Sciences,4,Female,39,3,3,Sales Representative,2,Single,4236,3648,3,Yes,13,3,3,3,5,3,3,5,1,1,5,No
25,Travel_Rarely,944,Human Resources,6,2,Human Resources,4,Female,70,3,3,Manager,3,Single,5573,14028,4,No,18,3,1,2,8,4,2,8,8,11,2,No
58,Travel_Rarely,882,Sales,2,3,Life Sciences,3,Male,46,2,2,Manager,4,Divorced,3897,25857,2,Yes,16,3,3,0,1,3,3,1,0,2,11,No
36,Travel_Rarely,983,Research & Development,3,2,Medical,4,Male,100,4,3,Research Director,2,Divorced,6540,26722,3,Yes,17,3,1,0,8,4,3,8,8,2,0,No
56,Travel_Rarely,823,Research & Development,12,3,Life Sciences,1,Female,95,1,4,Research Scientist,4,Divorced,6985,2765,3,Yes,13,4,1,3,11,4,3,11,9,2,0,No
45,Travel_Rarely,425,Human Resources,1,2,Life Sciences,1,Male,40,3,2,Human Resources,1,Married,11403,10368,3,Yes,13,3,4,0,3,3,2,3,2,5,1,Yes
44,Travel_Rarely,1248,Sales,4,3,Marketing,3,Male,92,4,2,Sales Executive,2,Divorced,4707,14606,3,Yes,12,3,4,0,9,0,4,9,8,6,0,No
21,Travel_Rarely,1158,Research & Development,4,4,Medical,1,Female,96,3,3,Research Scientist,3,Single,5957,22046,3,No,20,3,4,0,3,4,3,3,0,0,11,No
32,Travel_Rarely,756,Human Resources,5,3,Medical,3,Male,75,3,2,Manager,4,Married,10277,12763,3,No,15,3,1,3,7,4,1,7,3,1,2,No
52,Travel_Frequently,246,Research & Development,9,3,Life Sciences,2,Female,49,4,5,Laboratory Technician,4,Single,11915,3545,1,Yes,22,3,4,1,10,2,3,10,6,6,2,No
54,Travel_Rarely,875,Research & Development,4,1,Marketing,1,Female,42,4,2,Manufacturing Director,1,Married,7924,23791,1,Yes,15,3,3,0,33,3,3,33,31,1,0,No
18,Travel_Rarely,411,Research & Development,2,3,Life Sciences,3,Female,46,4,1,Research Scientist,2,Married,5739,7331,1,No,14,3,4,0,2,2,3,2,0,0,8,No
20,Travel_Rarely,245,Research & Development,19,1,Life Sciences,3,Female,61,3,2,Research Director,3,Single,5080,25456,1,No,14,3,1,3,3,0,1,3,0,0,4,Yes
41,Travel_Rarely,1043,Research & Development,29,3,Medical,2,Female,45,3,1,Research Director,2,Married,1009,25516,4,Yes,12,4,2,1,1,3,3,1,0,2,2,No
44,Travel_Rarely,765,Research & Development,1,2,Life Sciences,1,Male,52,3,2,Research Scientist,3,Divorced,3716,24521,3,Yes,15,3,4,1,1,1,3,1,0,2,8,No
57,Travel_Rarely,994,Research & Development,7,2,Life Sciences,3,Male,40,2,1,Research Scientist,3,Married,6804,25616,0,Yes,14,3,3,0,8,2,2,8,7,0,9,No
53,Non-Travel,618,Sales,3,1,Medical,4,Male,43,4,4,Sales Executive,3,Single,5957,12411,2,Yes,12,3,4,1,17,3,3,17,17,2,0,No
51,Travel_Frequently,296,Sales,2,3,Medical,4,Male,96,4,4,Sales Representative,2,Single,8370,19557,3,Yes,14,3,2,0,3,4,3,3,1,5,0,Yes
46,Travel_Rarely,919,Human Resources,3,3,Technical Degree,1,Female,100,3,1,Human Resources,1,Single,5914,10079,3,No,12,3,3,1,1,4,3,1,0,0,0,No
41,Travel_Frequently,1294,Research & Development,9,3,Medical,3,Female,74,1,1,Laboratory Technician,3,Single,4321,11568,6,Yes,16,3,4,0,2,5,3,2,2,0,3,Yes
41,Travel_Frequently,830,Research & Development,1,1,Life Sciences,2,Male,62,1,2,Laboratory Technician,1,Married,7524,2628,2,No,17,3,3,0,4,3,3,4,3,3,0,No
59,Travel_Rarely,1308,Research & Development,21,3,Life Sciences,3,Female,74,2,3,Healthcare Representative,3,Married,14015,17103,1,Yes,12,3,4,1,2,3,3,2,0,5,7,No
21,Travel_Frequently,1238,Sales,5,3,Other,4,Male,83,3,1,Manager,4,Married,5547,14134,4,No,13,3,2,1,1,4,3,1,0,0,2,No
20,Travel_Rarely,1401,Sales,3,3,Medical,2,Male,80,3,1,Sales Representative,1,Married,6916,9855,3,No,11,4,1,1,9,3,3,9,9,2,7,No
51,Travel_Rarely,577,Research & Development,13,4,Marketing,2,Male,52,4,2,Healthcare Representative,1,Divorced,9040,6760,2,No,19,4,2,0,0,2,3,0,0,1,3,No
40,Travel_Rarely,1303,Research & Development,1,3,Life Sciences,2,Female,58,4,3,Healthcare Representative,1,Single,4785,6767,2,No,11,3,3,1,5,3,3,5,4,0,6,Yes
40,Travel_Rarely,1416,Research & Development,5,2,Medical,4,Female,35,3,1,Research Director,4,Married,10318,12739,8,No,12,3,4,1,11,5,3,11,10,3,1,No
22,Travel_Rarely,535,Sales,3,3,Life Sciences,3,Female,68,4,3,Sales Representative,1,Divorced,1762,4256,0,No,17,4,2,1,2,1,3,2,2,1,11,No
48,Travel_Rarely,518,Human Resources,3,5,Medical,3,Female,34,3,5,Human Resources,4,Single,5276,12112,3,No,12,4,3,1,6,2,3,6,6,2,4,No
58,Non-Travel,812,Human Resources,3,3,Human Resources,3,Male,69,2,1,Manager,2,Single,5566,6092,1,No,12,4,4,0,7,3,4,7,7,0,3,No
23,Non-Travel,239,Research & Development,1,4,Other,2,Female,50,4,2,Research Scientist,2,Divorced,6953,25095,1,No,17,3,2,1,7,5,3,7,4,3,1,No
54,Travel_Frequently,910,Research & Development,1,4,Medical,4,Female,88,2,1,Laboratory Technician,1,Married,1009,17183,1,No,11,3,4,0,4,1,2,4,0,0,11,No
27,Travel_Frequently,1293,Research & Development,1,3,Medical,1,Female,49,4,1,Research Scientist,3,Married,10558,25979,2,No,15,3,4,3,2,3,3,2,0,0,1,No
57,Non-Travel,235,Research & Development,29,3,Human Resources,3,Male,53,3,1,Research Scientist,3,Single,7742,5786,1,No,12,3,1,1,12,1,3,12,11,1,7,No
24,Travel_Rarely,1286,Research & Development,1,3,Medical,3,Male,32,3,2,Manufacturing Director,3,Married,9868,9570,2,Yes,12,3,1,1,9,3,3,9,8,0,2,Yes
56,Travel_Rarely,885,Sales,1,3,Life Sciences,1,Female,86,4,3,Sales Representative,2,Single,11339,6153,5,Yes,19,4,1,0,2,3,1,2,0,4,5,No
55,Travel_Rarely,893,Research & Development,29,3,Medical,1,Female,100,3,2,Research Director,2,Single,4278,10616,2,No,14,3,4,0,0,0,3,0,0,0,9,Yes
38,Travel_Frequently,835,Research & Development,8,3,Life Sciences,3,Female,99,4,1,Laboratory Technician,2,Married,1009,24141,1,Yes,11,4,1,1,0,5,3,0,0,1,2,No
37,Travel_Rarely,478,Human Resources,5,3,Medical,2,Female,99,3,1,Human Resources,3,Single,9939,15364,6,No,11,3,4,0,0,4,2,0,0,3,2,Yes
20,Travel_Frequently,1455,Research & Development,1,1,Medical,2,Male,92,4,2,Laboratory Technician,2,Married,5640,3621,0,Yes,14,3,3,2,6,2,3,6,2,1,1,No
39,Travel_Rarely,496,Research & Development,9,4,Medical,1,Female,76,3,1,Research Director,3,Single,3100,14469,4,No,11,3,4,1,0,1,3,0,0,0,0,No
21,Travel_Rarely,1297,Research & Development,1,3,Life Sciences,4,Female,48,3,2,Research Director,2,Single,8228,9145,2,No,19,3,4,0,2,2,3,2,2,3,4,No
45,Travel_Frequently,571,Human Resources,10,5,Life Sciences,4,Female,42,3,2,Human Resources,2,Single,13890,19051,1,No,11,3,4,0,9,4,3,9,7,1,0,No
29,Travel_Rarely,872,Research & Development,29,3,Medical,4,Male,74,3,4,Research Director,3,Single,6173,8240,3,No,14,3,2,1,2,1,3,2,2,0,1,Yes
55,Travel_Rarely,1381,Sales,6,1,Technical Degree,3,Male,61,4,1,Manager,1,Divorced,9353,9644,4,No,11,4,2,0,10,2,3,10,8,0,1,No
53,Travel_Rarely,1245,Sales,2,2,Medical,3,Female,59,4,3,Sales Representative,3,Single,3537,5789,1,No,11,3,1,1,9,3,3,9,6,1,0,No
58,Travel_Rarely,120,Research & Development,8,4,Life Sciences,2,Female,71,3,1,Research Scientist,2,Married,1439,2617,4,No,14,3,3,1,1,0,2,1,0,2,4,No
22,Travel_Rarely,909,Research & Development,6,1,Human Resources,2,Female,71,4,3,Healthcare Representative,1,Single,9241,11457,3,Yes,25,3,3,0,9,2,2,9,6,1,0,Yes
30,Travel_Rarely,348,Human Resources,6,4,Technical Degree,4,Female,36,3,2,Human Resources,4,Single,8138,12839,5,No,12,3,4,1,9,3,3,9,9,0,6,No
40,Travel_Rarely,1330,Sales,5,2,Life Sciences,4,Female,32,1,3,Sales Representative,2,Divorced,5102,14465,1,No,17,3,4,1,3,2,3,3,0,1,1,No
47,Travel_Rarely,1192,Research & Development,10,4,Life Sciences,4,Male,66,3,2,Research Scientist,3,Single,11618,11707,2,No,13,3,1,3,1,4,3,1,1,0,1,No
54,Travel_Frequently,443,Research & Development,7,4,Marketing,3,Male,32,3,2,Research Director,4,Divorced,1206,12517,5,No,19,3,4,1,5,5,3,5,1,0,1,No
42,Travel_Rarely,446,Human Resources,29,4,Technical Degree,4,Male,47,1,1,Human Resources,1,Single,2809,4310,0,No,14,3,1,1,17,3,1,17,13,6,0,No
44,Travel_Rarely,1025,Research & Development,15,2,Other,4,Female,71,3,1,Laboratory Technician,4,Married,4871,12441,2,Yes,11,3,1,0,7,3,3,7,7,0,2,No
31,Travel_Frequently,488,Research & Development,2,3,Technical Degree,2,Male,38,3,2,Healthcare Representative,2,Married,5430,8430,5,Yes,14,3,4,1,1,3,2,1,1,0,0,Yes
53,Travel_Rarely,443,Research & Development,11,1,Medical,2,Male,86,2,4,Healthcare Representative,3,Divorced,10896,11137,3,No,11,3,4,0,8,3,4,8,4,4,2,No
56,Travel_Frequently,209,Research & Development,2,2,Medical,3,Male,53,3,2,Healthcare Representative,4,Married,6647,17667,7,No,11,3,1,1,3,1,2,3,0,0,1,Yes
33,Travel_Rarely,778,Sales,13,3,Life Sciences,2,Female,36,2,3,Sales Representative,4,Married,5921,23957,5,No,16,3,4,0,6,0,3,6,6,1,1,No
39,Travel_Rarely,734,Sales,1,4,Life Sciences,4,Female,71,3,2,Sales Representative,3,Single,2689,15500,1,No,12,3,4,1,9,4,2,9,9,3,4,No
38,Travel_Rarely,1099,Research & Development,5,1,Medical,2,Male,87,4,2,Research Director,3,Single,9759,26188,3,No,13,3,1,0,5,2,4,5,4,0,5,No
38,Non-Travel,697,Research & Development,14,4,Medical,3,Female,85,2,2,Manufacturing Director,3,Divorced,3090,11465,2,No,18,4,2,1,11,3,4,11,10,4,1,No
25,Travel_Frequently,1427,Human Resources,2,1,Medical,3,Male,87,3,1,Manager,2,Married,2676,5689,0,No,12,3,4,1,8,3,2,8,7,3,1,No
33,Travel_Rarely,1232,Human Resources,16,3,Marketing,3,Male,47,3,2,Manager,4,Married,5299,22845,2,Yes,17,3,4,1,6,2,3,6,3,1,2,Yes
48,Travel_Rarely,686,Research & Development,9,1,Life Sciences,1,Male,68,4,3,Manufacturing Director,1,Married,6989,24334,5,Yes,12,3,2,3,1,4,1,1,0,0,6,No
59,Travel_Frequently,578,Research & Development,4,4,Medical,4,Male,79,3,2,Research Scientist,3,Married,4339,12145,3,Yes,18,3,1,1,12,4,3,12,10,7,4,No
27,Travel_Rarely,438,Human Resources,4,2,Life Sciences,2,Female,62,2,3,Manager,3,Divorced,8621,23479,2,Yes,20,3,3,0,19,2,3,19,16,2,0,No
49,Travel_Frequently,414,Research & Development,23,4,Medical,4,Female,57,4,3,Research Director,4,Married,5651,2831,2,Yes,11,3,4,1,1,4,3,1,0,1,2,No
51,Travel_Rarely,1279,Sales,2,3,Marketing,4,Female,85,3,2,Sales Executive,3,Married,9658,13098,0,Yes,11,3,3,1,4,1,1,4,2,4,17,Yes
26,Travel_Frequently,710,Research & Development,10,5,Marketing,1,Female,54,3,3,Healthcare Representative,4,Divorced,8015,13078,3,No,14,3,1,1,2,4,3,2,1,1,1,Yes
